issue,date,n1,n2,n3,n4,n5
114000028,2025-01-31,1,5,9,14,26
114000027,2025-01-30,9,11,14,18,27
114000026,2025-01-29,4,11,25,31,32
114000025,2025-01-28,13,22,23,24,35
114000024,2025-01-27,1,6,16,26,31
114000023,2025-01-26,7,8,9,17,20
114000022,2025-01-25,1,7,32,36,37
114000021,2025-01-24,5,9,12,14,31
114000020,2025-01-23,4,7,17,22,35
114000019,2025-01-22,6,19,23,26,30
114000018,2025-01-21,1,14,18,19,22
114000017,2025-01-20,3,12,19,32,34
114000016,2025-01-18,7,12,18,35,39
114000015,2025-01-17,4,7,8,24,26
114000014,2025-01-16,9,13,23,29,34
114000013,2025-01-15,3,21,22,26,39
114000012,2025-01-14,10,22,31,35,36
114000011,2025-01-13,4,12,28,35,38
114000010,2025-01-11,5,12,13,19,34
114000009,2025-01-10,9,11,15,18,20
114000008,2025-01-09,2,8,19,21,29
114000007,2025-01-08,12,18,20,24,31
114000006,2025-01-07,13,23,27,31,37
114000005,2025-01-06,7,21,22,27,35
114000004,2025-01-04,8,9,12,21,23
114000003,2025-01-03,5,6,8,11,14
114000002,2025-01-02,12,26,30,32,33
114000001,2025-01-01,2,7,8,10,14
